iter	Passed	Remaining
0	215	21329
1	275	13500
2	307	9945
3	341	8188
4	374	7109
5	406	6366
6	436	5795
7	468	5383
8	500	5062
9	535	4821
10	568	4601
11	600	4405
12	634	4247
13	683	4198
14	725	4108
15	760	3993
16	795	3883
17	828	3776
18	861	3673
19	895	3581
20	927	3488
21	957	3395
22	989	3312
23	1021	3236
24	1053	3159
25	1085	3088
26	1115	3015
27	1148	2953
28	1181	2892
29	1214	2834
30	1252	2788
31	1283	2727
32	1318	2676
33	1349	2618
34	1383	2569
35	1416	2517
36	1446	2463
37	1478	2411
38	1510	2362
39	1539	2309
40	1571	2261
41	1602	2212
42	1632	2164
43	1661	2115
44	1694	2070
45	1722	2022
46	1750	1974
47	1788	1937
48	1821	1895
49	1848	1848
50	1877	1803
51	1906	1760
52	1935	1716
53	1964	1673
54	1993	1630
55	2023	1589
56	2053	1549
57	2085	1510
58	2111	1467
59	2140	1427
60	2169	1387
61	2199	1348
62	2229	1309
63	2260	1271
64	2289	1232
65	2320	1195
66	2349	1157
67	2378	1119
68	2403	1079
69	2433	1042
70	2462	1005
71	2489	967
72	2519	932
73	2550	895
74	2580	860
75	2607	823
76	2637	787
77	2668	752
78	2700	717
79	2731	682
80	2761	647
81	2790	612
82	2821	577
83	2852	543
84	2881	508
85	2908	473
86	2950	440
87	2981	406
88	3012	372
89	3043	338
90	3073	303
91	3103	269
92	3131	235
93	3164	201
94	3196	168
95	3227	134
96	3257	100
97	3288	67
98	3317	33
99	3346	0
